title,label,color,labeled_places_22_02_pid,labeled_places_22_02_place_id
Золотая долина коробицыно,33,#a4d41f,14189806,14189806
Крытый каток Малый пр. В.О.66,66,#1ae2d2,1503227,1503227
малый проспект 53,39,#75d098,8095943,8095943
Малый проспект,66,#1ae2d2,7643809,7643809
16-я линия 67,39,#75d098,5958578,5958578
St.Petersburg City,39,#75d098,12308364,12308364
Музей кукол,39,#75d098,1036372,1036372
16-я Линия В.О. 83 концертный зал NAUTILUS,39,#75d098,14480546,14480546
"СМОЛЕНСКОЕ ЛЮТЕРАНСКОЕ КЛАДБИЩЕ, Петербург",39,#75d098,11964286,11964286
Васильевский остров набережная реки Смоленки,39,#75d098,12677838,12677838
Смоленское лютеранское кладбище,39,#75d098,6658035,6658035
Elgida motors,39,#75d098,5870596,5870596
Уральская улица,39,#75d098,5382621,5382621
"Судостроительная Фирма ""Алмаз""",60,#d53e8c,1856508,1856508
"ФГБУ ""Дом ветеранов сцены имени М. Г. Савиной (пансионат)"" Управления делами Президента Российской Федерации",60,#d53e8c,12223168,12223168
Saint Petersburg ?,10,#6f46eb,15328637,15328637
"Фестиваль ""О ДА ЕДА""",60,#d53e8c,18716703,18716703
Parklane SPA Hotel,60,#d53e8c,16190770,16190770
Дива остров,60,#d53e8c,6502129,6502129
Диво остров парк аттракционов,60,#d53e8c,6375289,6375289
Парк ЦПКиО,60,#d53e8c,935510,935510
дом-наоборот,60,#d53e8c,9703040,9703040
"Ресторан ""Чайка""",60,#d53e8c,11915279,11915279
